published,confidence,water_key,water_name,station_abbrev,station_name,water_source,distance_miles,name_similarity,match_score
False,high,atlas-watercode-37994,Animas River,ANIDURCO,"ANIMAS RIVER AT DURANGO, CO",ANIMAS RIVER,1.26,1.0,0.883
False,review,atlas-watercode-40262,"Leroux Creek, West Fork",LRASMICO,LEROUX CREEK ABOVE CARL SMITH RESERVOIR,LEROUX CREEK,2.95,0.635,0.462
True,high,atlas-watercode-42527,Rio Grande River,RIODELCO,"RIO GRANDE NEAR DEL NORTE, CO",RIO GRANDE,1.26,1.0,0.883
False,review,atlas-watercode-42983,"San Miguel River, Lake Fork",SFSANOCO,"SOUTH FORK SAN MIGUEL RIVER NEAR OPHIR, CO",SOUTH FORK SAN MIGUEL RIVER,2.23,0.581,0.49
True,high,atlas-watercode-43531,Taylor River,TAYBERCO,"TAYLOR RIVER BELOW TAYLOR PARK RESERVOIR, CO.",TAYLOR RIVER,0.35,1.0,0.967
False,review,atlas-watercode-45282,La Jara Creek,LAJCAPCO,LAJARA CREEK AT GALLEGOS RANCH NEAR CAPULIN,LA JARA CREEK,2.86,1.0,0.733
True,high,unmapped-17029fed3862,Colorado River,COLPARCO,COLORADO RIVER NEAR PARSHALL BELOW W.F. CONFLUENCE,COLORADO RIVER,0.1,1.0,0.99
True,high,unmapped-3294c965a757,North Platte River,NPLGATCO,"NORTH PLATTE RIVER NEAR NORTHGATE, CO",NORTH PLATTE RIVER,2.45,1.0,0.771
False,high,unmapped-45ae491cd5ec,South Platte River,PLAKASCO,SOUTH PLATTE RIVER AT LAST CHANCE DIVERSION NEAR KASSLER,SOUTH PLATTE RIVER,1.92,1.0,0.82
False,high,unmapped-45ae491cd5ec,South Platte River,PLASTRCO,SOUTH PLATTE RIVER BELOW STRONTIA SPRINGS,SOUTH PLATTE RIVER,2.41,1.0,0.775
False,review,unmapped-45ae491cd5ec,South Platte River,PLAWATCO,"SOUTH PLATTE RIVER AT WATERTON, CO.",SOUTH PLATTE RIVER,2.55,1.0,0.762
True,high,unmapped-69edc866a46c,Ivanhoe Creek,IVCRNACO,"IVANHOE CREEK NEAR NAST, CO.",IVANHOE CREEK,0.61,1.0,0.943
False,high,unmapped-69edc866a46c,Ivanhoe Creek,IVAOUTCO,IVANHOE LAKE OUTFLOW,IVANHOE CREEK,2.45,1.0,0.771
True,high,unmapped-fc3196187531,White River,WHIBUFCO,"WHITE RIVER BELOW N ELK CREEK NEAR BUFORD,CO",WHITE RIVER,0.45,1.0,0.958
